Afghanistan,note - the Ministry of Justice licensed 84 political parties as of December 2012
Panama,"Democratic Change or CD [Ricardo MARTINELLI Berrocal] 
      
      Democratic Revolutionary Party or PRD [Juan Carlos NAVARRO Quelquejeu] 
      
      Nationalist Republican Liberal Movement or MOLIRENA [Sergio GONZALEZ-Ruiz] 
      
      Panamenista Party [Juan Carlos VARELA Rodriguez] (formerly the Arnulfista Party) 
      
      Popular Party or PP [Milton HENRIQUEZ] (formerly Christian Democratic Party or PDC)"
Papua New Guinea,"National Alliance Party or NA [Patrick PRUAITCHI] 
      
      Papua New Guinea Party or PNGP [Beldan NEMAH] 
      
      People's National Congress Party or PNC [Peter Paire O'NEILL] 
      
      People's Party or PP 
      
      People's Progress Party or PPP 
      
      Triumph Heritage Empowerment Party or THE [Don POYLE] 
      
      United Resources Party or URP [William DUMA] 
      
      
      
      
        note: as of 13 March 2012, 41 political parties were registered"
Paraguay,"Asociacion Nacional Republicana - Colorado Party or ANR [Lilian SAMANIEGO] 
      
      Avanza Pais coalition [Adolfo FERREIRO] 
      
      Broad Front coalition (Frente Guasu) or FG [Fernando Armindo LUGO Mendez] 
      
      Movimiento Union Nacional de Ciudadanos Eticos or UNACE [Jorge OVIEDO MATTO] 
      
      Patria Querida (Beloved Fatherland Party) or PPQ [Sebastian ACHA] 
      
      Partido del Movimiento al Socialismo or P-MAS [Camilo Ernesto SOARES Machado] 
      
      Partido Democratica Progresista or PDP [Desiree MASI] 
      
      Partido Encuentro Nacional or PEN [Fernando CAMACHO Paredes] 
      
      Partido Liberal Radical Autentico or PLRA [Miguel ABDON SAGUIER] 
      
      Partido Pais Solidario or PPS [Carlos Alberto FILIZZOLA Pallares] 
      
      Partido Popular Tekojoja [Sixto PEREIRA]"
Peru,"Alliance for Progress (Alianza para el Progreso) or APP [Cesar ACUNA Peralta] 
      
      Fuerza Popular (formerly Fuerza 2011) [Keiko FUJIMORI Higuchi] 
      
      National Solidarity (Solidaridad Nacional) or SN [Luis CASTANEDA Lossio] 
      
      Peru Posible or PP (a coalition of Accion Popular and Somos Peru) [Alejandro TOLEDO Manrique] 
      
      Peruvian Aprista Party (Partido Aprista Peruano) or PAP [Alan GARCIA Perez] (also referred to by its original name Alianza Popular Revolucionaria Americana or APRA) 
      
      Peruvian Nationalist Party [Nadine HEREDIA Alarcon] 
      
      Popular Christian Party (Partido Popular Cristiano) or PPC [Lourdes FLORES Nano] 
      
      Wide Front (Frente Amplio), a coalition of left-of-center parties including Tierra y Libertad [Marco ARANA Zegarra], Ciudadanos por el Gran Cambio [Salomon LERNER Ghitis], and Fuerza Social [Susana VILLARAN de la Puente]"
Philippines,"Laban ng Demokratikong Pilipino (Struggle of Filipino Democrats) or LDP [Edgardo ANGARA] 
      
      Lakas ng EDSA-Christian Muslim Democrats or Lakas-CMD [Manuel ""Mar"" ROXAS] 
      
      Liberal Party or LP [Manuel ROXAS] 
      
      Nacionalista Party or NP [Manuel ""Manny"" VILLAR] 
      
      Nationalist People's Coalition or NPC [Frisco SAN JUAN] 
      
      PDP-Laban [Aquilino PIMENTEL] 
      
      People's Reform Party [Miriam Defensor SANTIAGO] 
      
      Puwersa ng Masang Pilipino (Force of the Philippine Masses) or PMP [Joseph ESTRADA] 
      
      
      
      
        note: United Nationalist Alliance or [UNA] - PDP-Laban and PMP coalition for the 2013 election"
Pitcairn Islands,none
Poland,"Civic Platform or PO [Donald TUSK, chairman; Rafal GRUPINSKI, parliamentary caucus leader] 
      
      Democratic Left Alliance or SLD [Leszek MILLER, chairman, parliamentary caucus leader] 
      
      Democratic Party or PD [Andrzej CELINSKI, chairman] 
      
      Democratic Party or SD [Pawel PISKORSKI, chairman] 
      
      German Minority of Lower Silesia or MNSO [Ryszard GALLA, representative] 
      
      Law and Justice or PiS [Jaroslaw KACZYNSKI, chairman; Mariusz BLASZCZAK, parliamentary caucus leader] 
      
      League of Polish Families or LPR [Witold BALAZAK, chairman] 
      
      Poland Comes First or PJN [Pawel KOWAL, chairperson] 
      
      Poland Together or PR [Jaroslaw GOWIN, chairman] 
      
      Polish People's Party or PSL [Janusz PIECHOCINSKI, chairman; Jan BURY, parliamentary caucus leader] 
      
      Social Democratic Party of Poland or SDPL [Wojciech FILEMONOWICZ, chairman] 
      
      Union of Labor or UP [Waldemar WITKOWSKI, chairman] 
      
      United Poland or SP [Zbigniew ZIOBRO, chairperson; Arkadiusz MULARCZYK, parliamentary caucus leader] 
      
      Your Movement or TR [Janusz PALIKOT, chairman, parliamentary caucus leader] (formerly Palikot's Your Movement)"
Portugal,"Democratic and Social Center/Popular Party or CDS/PP [Paulo PORTAS] 
      
      Social Democratic Party or PPD/PSD [Pedro PASSOS COELHO] 
      
      Socialist Party or PS [Antonio Jose SEGURO] 
      
      The Left Bloc or BE [Joao Pedro Furtado da Cunha SEMEDO and Catarina Soares MARTINS 
      
      Unitarian Democratic Coalition or CDU [Jeronimo DE SOUSA] (includes Portuguese Communist Party or PCP and Ecologist Party (""The Greens"") or PEV)"
Puerto Rico,"National Democratic Party [Roberto PRATS] 
      
      National Republican Party of Puerto Rico [Dr. Tiody FERRE] 
      
      New Progressive Party or PNP [Pedro ROSSELLO] (pro-US statehood) 
      
      Popular Democratic Party or PPD [Anibal ACEVEDO-VILA] (pro-commonwealth) 
      
      Puerto Rican Independence Party or PIP [Ruben BERRIOS Martinez] (pro-independence)"
Qatar,none
Romania,"Christian-Democratic National Peasants' Party or PNT-CD [Aurelian PAVELESCU] 
      
      Civic Force or FC [Mihai-Razvan UNGUREANU] 
      
      Conservative Party or PC [Daniel CONSTANTIN] (formerly Humanist Party or PUR) 
      
      Democratic Liberal Party or PDL [Vasile BLAGA] (formerly Democratic Party) 
      
      Democratic Union of Hungarians in Romania or UDMR [Hunor KELEMEN] 
      
      National Liberal Party or PNL [Crin ANTONESCU] 
      
      National Union for Romania's Progress or UNPR [Gabriel OPREA] 
      
      New Republic Party or NR [Mihai NEAMTU] 
      
      People's Party - Dan Diaconescu or PP-DD [Dan DIACONESCU] 
      
      Popular Movement Party or PMP [Eugene TOMAC] 
      
      Social Democratic Party or PSD [Victor-Viorel PONTA] (formerly Party of Social Democracy in Romania or PDSR)"
Russia,"seventy eight political parties are registered with Russia's Ministry of Justice (as of January 2014), but only four parties maintain representation in Russia's national legislature: 
      
      A Just Russia [Sergey MIRONOV] 
      
      Communist Party of the Russian Federation or CPRF [Gennadiy ZYUGANOV] 
      
      Liberal Democratic Party of Russia or LDPR [Vladimir ZHIRINOVSKIY] 
      
      United Russia [Dmitriy MEDVEDEV]"
Rwanda,"Centrist Democratic Party or PDC [Agnes MUKABARANGA] 
      
      Democratic Popular Union of Rwanda or UDPR [Gonzague RWIGEMA] 
      
      Democratic Republican Movement or MDR [Celestin KABANDA] (officially banned) 
      
      Islamic Democratic Party or PDI [Musa Fazil HARERIMANA] 
      
      Liberal Party or PL [Protais MITALI] 
      
      Party for Democratic Renewal (officially banned) 
      
      Party for Progress and Concord or PPC [Alvera MUKABARAMBA] 
      
      Rwandan Patriotic Front or RPF [Paul KAGAME] 
      
      Rwandan Socialist Party or PSR [Jean Baptist RUCIBIGANGO] 
      
      Social Democratic Party or PSD [Vincent BIRUTA] 
      
      Socialist Party-Imberakuri or PS-Imberakuri [Christine MUKABUNANI] 
      
      Solidarity and Prosperity Party or PSP [Pheobe KANYANGE]"
Saint Barthelemy,"Action-Equilibre-Transparence [Maxime DESOUCHES] 
      
      Ensemble pour Saint-Barthelemy [Benoit CHAUVIN] 
      
      Saint-Barth d'Abord! or SBA [Bruno MAGRAS] 
      
      Tous Unis pour Saint-Barthelemy [Karine MIOT-RICHARD]"
"Saint Helena, Ascension, and Tristan da Cunha",none
Saint Kitts and Nevis,"Concerned Citizens Movement or CCM [Vance AMORY] 
      
      Nevis Reformation Party or NRP [Joseph PARRY] 
      
      People's Action Movement or PAM [Shawn RICHARDS] 
      
      Saint Kitts and Nevis Labor Party or SKNLP [Dr. Denzil DOUGLAS]"
Saint Lucia,"Lucian People's Movement or LPM [Therold PRUDENT] 
      
      Saint Lucia Labor Party or SLP [Kenny ANTHONY] 
      
      United Workers Party or UWP [Stephenson KING]"
Saint Martin,"Union Pour le Progres or UPP [Louis-Constant FLEMING] 
      
      Rassemblement Responsabilite Reussite or RRR [Alain RICHARDSON] 
      
      Reussir Saint-Martin [Jean-Luc HAMLET] 
      
      Saint-Martin pour tous 
      
      Team Daniel Gibbs"
Saint Pierre and Miquelon,"Archipelago Tomorrow or AD (affiliated with UDF/RPR list) 
      
      Cap sur l'Avenir (affiliated with PRG) 
      
      Left Radical Party or PRG 
      
      Rassemblement pour la Republique or RPR (now UMP) 
      
      Saint Pierre and Miquelon 2000/Avenir Miquelon or SPM 2000/AM 
      
      Socialist Party or PS 
      
      Union pour la Democratie Francaise or UDF"
Saint Vincent and the Grenadines,"New Democratic Party or NDP [Arnhim EUSTACE] 
      
      Unity Labor Party or ULP [Ralph GONSALVES] (formed by the coalition of Saint Vincent Labor Party or SVLP and the Movement for National Unity or MNU)"
Samoa,"Human Rights Protection Party or HRPP [Sailele Malielegaoi TUILA'EPA] 
      
      Samoa Christian Party or TCP [Tuala Tiresa MALIETOA] 
      
      Samoa Progressive Political Party or SPPP 
      
      Tautua Samoa [Palusalue FA'APO II]"
San Marino,"San Marino Common Good:  
      
      Christian Democrats or PDCS [Marco GATTI] 
      
      Party of Socialists and Democrats or PSD [Gerardo GIOVAGNOLI] 
      
      Popular Alliance or AP [Stefano PALMIERI] 
      
      
        Entente for the Country: 
      
      Socialist Party or PS [Augusto CASALI] 
      
      Union for the Republic or UPR [Giovanni LONFERNINI] 
      
      Sammarinese Union of Moderates or USDM [Romeo MORRI and Glauco SANSOVINI] 
      
      
        Active Citizenship: 
      
      United Left or SU [Alessandro ROSSI] 
      
      Civic 10 [Mateo CIACCI] 
      
      
        other: 
      
      Civic Movement R.E.T.E. (Network) [Gloria ARCANGELONI] 
      
      For San Marino [Emilio DELLA BALDA] 
      
      San Marino 3.0 [Simone DELLA VALLE]"
Sao Tome and Principe,"Force for Change Democratic Movement or MDFM [Fradigue Bandeira Melo DE MENEZES] 
      
      Independent Democratic Action or ADI [Patrice TROVOADA] 
      
      Movement for the Liberation of Sao Tome and Principe-Social Democratic Party or MLSTP-PSD [Aurelio MARTINS] 
      
      Party for Democratic Convergence-Reflection Group or PCD-GR [Leonel Mario D'ALVA] 
      
      other small parties"
Saudi Arabia,none
Senegal,"African Party of Independence [Majhemout DIOP] 
      
      Alliance for the Republic-Yakaar [Macky SALL] 
      
      Alliance of Forces of Progress or AFP [Moustapha NIASSE] 
      
      And-Jef/African Party for Democracy and Socialism or AJ/PADS [Landing SAVANE] 
      
      Benno Bokk Yakaar coaltion [Macky SALL] 
      
      Benno Siggil Senegal (a coalition of opposition parties) 
      
      Bokk Giss Giss coalition [Pape DIOP] 
      
      Citizen Movement for National Reform or MCRN-Bes Du Nakk 
      
      Democratic League-Labor Party Movement or LD-MPT [Dr. Abdoulaye BATHILY] 
      
      Front for Socialism and Democracy/Benno Jubel or FSD/BJ [Cheikh Abdoulaye Bamba DIEYE] 
      
      Gainde Centrist Bloc or BGC [Jean-Paul DIAS] 
      
      Independence and Labor Party or PIT [Amath DANSOKHO] 
      
      Jef-Jel [Talla SYLLA] 
      
      National Democratic Rally or RND [Madior DIOUF] 
      
      Party for Truth and Development or PVD [Ahmadou Kara MBACKE] 
      
      People's Labor Party or PTP [El Hadji DIOUF] 
      
      Reform Party or PR [Abdourahim AGNE] 
      
      Republican Movement for Socialism and Democracy or MRDS 
      
      Rewmi Party [Idrissa SECK] 
      
      Senegalese Democratic Party or PDS [Abdoulaye WADE] 
      
      Socialist Party or PS [Ousmane Tanor DIENG] 
      
      SOPI Coalition [Abdoulaye WADE] (a coalition led by the PDS) 
      
      Synergy for Ethics and Transparency [Aminata TALL] 
      
      Union for Democratic Renewal or URD [Djibo Leyti KA]"
Serbia,"Alliance of Vojvodina Hungarians or SVM [Istvan PASZTOR] 
      
      Boris Tadic Coalition [Boris TADIC] (includes New Democratic Party-Greens or NDS-Z [Boris TADIC], League of Social Democrats of Vojvodina or LSV [Nenad CANAK], Together for Serbia or ZSS [Dusan PETROVIC], Democratic Alliance of Vojvodina Hungarians or VMDK [Aron CSONKA], Together for Vojvodina [Olena PAPUGA], Democratic Left of Roma or DLR [Jovan DAMJANOVIC]) 
      
      Democratic Party of Serbia or DSS [Aleksandar Popovic] 
      
      Enough of That [Sasa RADULOVIC] 
      
      Party for Democratic Action or PDD [Riza HALIMI] 
      
      Party of Democratic Action of the Sandzak or SDA [Sulejman UGLJANIN] 
      
      Serbian Radical Party or SRS [Vojislav SESELJ] 
      
      SNS-led Coalition/A Future We Believe In [Aleksandar VUCIC] (includes Serbian Progressive Party or SNS [Aleksandar VUCIC], Social Democratic Party of Serbia or SDPS [Rasim LJAJIC], New Serbia or NS [Velimir ILIC], Movement of Socialists or PS [Aleksandar VULIN], and Serbian Renewal Movement or SPO [Vuk DRASKOVIC]) 
      
      United Regions of Serbia [Mladan DINKIC] 
      
      With Democratic Party for Democratic Serbia/Democratic Party or DS [Dragan DJILAS] 
      
      SPS/PUPS/JS [Ivica DACIC] (includes Socialist Party of Serbia or SPS [Ivica DACIC], Party of United Pensioners of Serbia or PUPS [Jovan KRKOBABIC], United Serbia or JS [Dragan ""Palma"" MARKOVIC]) 
      
      LDP-led Coalition [Cedomir JOVANOVIC] (includes Liberal Democratic Party of LDP [Cedomir JOVANOVIC], Bosniak Democratic Union of Sandzak or BDZS [Esad DZUDZEVIC], Social Democratic Union of SDU [Zarko KORAC])"
Seychelles,"Democratic Party or DP [Paul CHOW] 
      
      People's Party (Parti Lepep) or PL [James Alix MICHEL] 
      
      Popular Democratic Movement or PDM [David PIERRE] 
      
      Seychelles National Party or SNP [Wavel RAMKALAWAN] (formerly the United Opposition or UO) 
      
      Seychelles United Party or SUP [Ralph VOLCERE]"
Sierra Leone,"All People's Congress or APC [Ernest Bai KOROMA] 
      
      Peace and Liberation Party or PLP [Kandeh Baba CONTEH] 
      
      People's Movement for Democratic Change or PMDC [Charles MARGAI] 
      
      Sierra Leone People's Party or SLPP [Sumanu KAPEN] 
      
      United Democratic Movement or UDM [Mohamed BANGURA] 
      
      numerous others"
Singapore,"National Solidarity Party or NSP [Jeannette CHONG-ARULDROSS] 
      
      People's Action Party or PAP [LEE Hsien Loong] 
      
      Reform Party [Kenneth JEYARETNAM] 
      
      Singapore Democratic Alliance or SDA [Desmond LIM] (includes Singapore Justice Party or SJP [Desmond LIM] and Singapore National Malay Organization/Pertubuhan Kebangsaan Melayu Singapura or PKMS [Abu Bin MOHAMED]) 
      
      Singapore Democratic Party or SDP [CHEE Soon Juan] 
      
      Singapore People's Party or SPP [CHIAM See Tong] 
      
      Workers' Party or WP [LOW Thia Khiang]"
Sint Maarten,"Democratic Party or DP [Sarah WESCOTT-WILLIAMS] 
      
      National Alliance or NA [William MARLIN] 
      
      United People's Party or UPP [Theodore HEYLIGER] 
      
      Concordia Political Alliance or CPA [Jeffery RICHARDSON]"
Slovakia,"parties in the Parliament:  
      
      Christian Democratic Movement or KDH [Jan FIGEL] 
      
      Direction-Social Democracy or Smer-SD [Robert FICO] 
      
      Freedom and Solidarity or SaS [Richard SULIK] 
      
      Most-Hid or Bridge [Bela BUGAR] 
      
      Ordinary People and Independent Personalities or OLaNO [Igor MATOVIC] 
      
      Slovak Democratic and Christian Union-Democratic Party or SDKU-DS [Pavol FRESO] 
      
      
        selected parties outside the Parliament: 
      
      Civic Conservative Party or OKS [Ondrej DOSTAL] 
      
      Nation and Justice - Our Party or NAS [Anna BELOUSOVOVA] 
      
      Party of the Democratic Left or SDL [Jozef DURICA] 
      
      Party of the Hungarian Coalition or SMK [Jozsef BERENYI] 
      
      People's Party - Our Slovakia or LSNS [Marian KOTLEBA] 
      
      Slovak National Party or SNS [Andrej DANKO]"
Slovenia,"Civic List or DL [Gregor VIRANT] (formerly LGV) 
      
      Democratic Party of Pensioners of Slovenia or DeSUS [Karl ERJAVEC] 
      
      New Slovenia or NSi [Ljudmila NOVAK] 
      
      Positive Slovenia or PS [Alenka BRATUSEK (interim)] 
      
      Slovene People's Party or SLS [Radovan ZERJAV] 
      
      Slovenian Democratic Party or SDS [Janez JANSA] 
      
      Social Democrats or SD [Igor LUKSIC] (formerly ZLSD)"
Solomon Islands,"Direct Development Party or DDP [Dick HA'AMORI] 
      
      Independent Democratic Party or IDP [Snyder RINI] 
      
      People's Alliance Party or PAP [James MEKAB] 
      
      People's Congress Party or PCP [Fred FONO] 
      
      People's Federation Party or PFP [Rudolf DORA] 
      
      Ownership, Unity, and Responsibility Party or OUR [Manasseh SOGAVARE] 
      
      Reform Democratic Party or RDP [Danny PHILIP] 
      
      Rural and Urban Political Party or RUPP [Samuel MANETOALI] 
      
      Solomon Islands Democratic Party or SIDP [Steve ABANA] 
      
      Solomon Islands Liberal Party or SILP [Derek SIKUA] 
      
      Solomon Islands National Party or SINP [Francis HILLY] 
      
      Solomon Islands Party for Rural Advancement or SIPRA [Job D. TAUSINGA] 
      
      United Party [Sir Peter KENILOREA] 
      
      
        note: in general, Solomon Islands politics is characterized by fluid coalitions"
Somalia,none
South Africa,"African Christian Democratic Party or ACDP [Kenneth MESHOE] 
      
      African National Congress or ANC [Jacob ZUMA] 
      
      Congress of the People or COPE [Mosiuoa LEKOTA] 
      
      Democratic Alliance or DA [Helen ZILLE] 
      
      Economic Freedom Fighters or EFF [Julius MALEMA] 
      
      Freedom Front Plus or FF+ [Pieter MULDER] 
      
      Inkatha Freedom Party or IFP [Mangosuthu BUTHELEZI] 
      
      National Freedom Party or NFP [Zanele kaMAGWAZA-MSIBI] 
      
      Pan-Africanist Congress of Azania or PAC [Alton MPHETHI] 
      
      United Christian Democratic Party or UCDP [Isaac Sipho MFUNDISI] 
      
      United Democratic Movement or UDM [Bantu HOLOMISA]"
South Sudan,"Sudan People's Liberation Movement or SPLM [Salva KIIR Mayardit] 
      
      Sudan People's Liberation Movement for Democratic Change or SPLM-DC [Lam AKOL]"
Spain,"Amaiur [collective leadership] (a separatist political coalition that advocates Basque independence from Spain) 
      
      Basque Nationalist Party or PNV or EAJ [Inigo URKULLU Renteria] 
      
      Canarian Coalition or CC [Claudina MORALES Rodriquez] (a coalition of five parties) 
      
      Ciutadans [Albert Rivera] (an anti-separatist Catalan party) 
      
      Convergence and Union or CiU [Artur MAS i Gavarro] (a coalition of the Democratic Convergence of Catalonia or CDC [Artur MAS i Gavarro] and the Democratic Union of Catalonia or UDC [Josep Antoni DURAN i LLEIDA]) 
      
      Entesa Catalonia de Progress (a Senate coalition grouping four Catalan parties - PSC, ERC, ICV, EUA) 
      
      Galician Nationalist Bloc or BNG [Guillerme VAZQUEZ Vazquez] 
      
      Initiative for Catalonia Greens or ICV [Joan HERRERA i Torres] 
      
      Yes to the Future or Geroa Bai [collective leadership] (a coalition of four Navarran parties) 
      
      Popular Party or PP [Mariano RAJOY Brey] 
      
      Republican Left of Catalonia or ERC [Oriol JUNQUERAS i Vies] 
      
      Spanish Socialist Workers Party or PSOE [Alfredo Perez RUBALCABA] 
      
      Union of People of Navarra or UPN [Yolanda BARCINA Angulo] 
      
      Union, Progress and Democracy or UPyD [Rosa DIEZ Gonzalez] 
      
      United Left or IU [Cayo LARA Moya] (a coalition of parties including the Communist Party of Spain or PCE and other small parties)"
Sri Lanka,"Coalitions and leaders: Democratic National Alliance, led by General (Retired) Sarath FONSEKA 
      
      Janatha Vimukthi Peramuna or JVP [Somawansa AMARASINGHE] 
      
      Tamil National Alliance led by Illandai Tamil Arasu Kachchi [R. SAMPANTHAN] 
      
      United National Front led by United National Party [Ranil WICKREMESINGHE] 
      
      United People's Freedom Alliance led by Sri Lanka Freedom Party [Mahinda RAJAPAKSA]"
Sudan,"Democratic Unionist Party or DUP [Muhammad Uthman al-MIRGHANI] 
      
      Muslim Brotherhood or MB 
      
      National Congress Party or NCP [Umar Hassan al-BASHIR] 
      
      National Umma Party or UP [Siddiq al-MAHDI] 
      
      Popular Congress Party or PCP [Hassan al-TURABI] 
      
      Reform Now Party or RNP [Dr. Ghazi Salah ADDEEN] 
      
      Sudanese Communist Party (SCP) [Mohammed Moktar Al-KHATEEB] 
      
      Sudanese Congress Party [Ibrahim Al Shiek ABDULRAHMAN] 
      
      Unionist Movement Party or UMP [Nagla AL-AZHARI]"
Suriname,"A-Combination (a coalition that includes the General Liberation and Development Party ABOP [Ronnie BRUNSWIJK], and SEEKA [Paul ABENA]) 
      
      Basic Party for Renewal and Democracy or BVD [Dilip SARDJOE] 
      
      Basic Party for Renewal and Democracy or PVF [Soedeschand JAIRAM] 
      
      Democratic Union Suriname or DUS [Japhet DIEKO] 
      
      Mega Combination Coalition (a coalition that joined with A-Combination and the PL to form a majority in Parliament in 2010 - includes the National Democratic Party or NDP [Desire Delano BOUTERSE] (largest party in the coalition), Progressive Worker and Farmer's Union or PALU [Jim HOK], Party for National Unity and Solidarity of the Highest Order or KTPI [Willy SOEMITA], DNP-2000 [Jules WIJDENBOSCH], Union of Brotherhood and Unity in Politics BEP [Caprino ALENDY], and New Suriname or NS [Nanan PANDAY]) 
      
      National Union or NU [P. VAN LEEUWAARDE] 
      
      New Front for Democracy and Development or NF (a coalition made up of the National Party of Suriname or NPS [Runaldo VENETIAAN], United Reform Party or VHP [Ramdien SARDJOE], Democratic Alternative 1991 or DA-91 - an independent, business-oriented party [Winston JESSURUN], Surinamese Labor Party or SPA [Siegfried GILDS]) 
      
      Party for Democracy and Development in Unity or DOE [Carl BREEVELD] 
      
      Party for the Permanent Prosperity Republic Suriname or PVRS 
      
      People's Alliance, Pertjaja Luhur's or PL [Paul SOMOHARDJO](includes D-21 [Soewarta MOESTADJA] and Pendawa Lima [Raymond SAPEON], which merged with PL in 2010) 
      
      
        note: BVD and PVF participated in the elections as a coalition (BVD/PVF) in the most recent elections, but separated after the election"
Swaziland,"the status of political parties, previously banned, is unclear under the 2006 Constitution and currently being debated; the following are considered political associations 
      
      African United Democratic Party or AUDP [Stanley MAUNDZISA, president] 
      
      Imbokodvo National Movement or INM {headed by the Royal Family] 
      
      Ngwane National Liberatory Congress or NNLC [Obed DLAMINI, president] 
      
      People's United Democratic Movement or PUDEMO [Mario MASUKU, president]"
Sweden,"Center Party (Centerpartiet) or C [Annie LOOF] 
      
      Christian Democrats (Kristdemokraterna) or KD [Goran HAGGLUND] 
      
      Green Party (Miljopartiet de Grona); [spokespersons Asa ROMSON and Gustav FRIDOLIN] 
      
      Left Party (Vansterpartiet) (formerly Communist Party) or V [Jonas SJOSTEDT] 
      
      Liberal People's Party (Folkpartiet) or FP [Jan BJORKLUND] 
      
      Moderate Party (Moderaterna) or M [Fredrik REINFELDT] 
      
      Social Democratic Party (Socialdemokraterna) or SDP [Stefan LOFVEN] 
      
      Sweden Democrats (Sverigedemokraterna) or SD [Jimmie AKESSON]"
Switzerland,"Christian Democratic People's Party (Christlichdemokratische Volkspartei der Schweiz or CVP, Parti Democrate-Chretien Suisse or PDC, Partito Popolare Democratico Svizzero or PPD, Partida Cristiandemocratica dalla Svizra or PCD) [Christophe DARBELLAY] 
      
      Conservative Democratic Party (Buergerlich-Demokratische Partei Schweiz or BDP, Parti Bourgeois Democratique Suisse or PBD, Partito Borghese Democratico Svizzero or PBD, Partido burgais democratica Svizera or PBD) [Martin LANDOLT] 
      
      Free Democratic Party or FDP.The Liberals (FDP.Die Liberalen, PLR.Les Liberaux-Radicaux, PLR.I Liberali, Ils Liberals) [Philipp MUELLER] 
      
      Green Liberal Party (Grunliberale or GLP, Parti vert liberale or PVL, Partito Verde-Liberale or PVL, Partida Verde Liberale or PVL) [Martin BAEUMLE] 
      
      Green Party (Gruene Partei der Schweiz or Gruene, Parti Ecologiste Suisse or Les Verts, Partito Ecologista Svizzero or I Verdi, Partida Ecologica Svizra or La Verda) [Adele THORENS] 
      
      Social Democratic Party (Sozialdemokratische Partei der Schweiz or SPS, Parti Socialiste Suisse or PSS, Partito Socialista Svizzero or PSS, Partida Socialdemocratica de la Svizra or PSS) [Christian LEVRAT] 
      
      Swiss People's Party (Schweizerische Volkspartei or SVP, Union Democratique du Centre or UDC, Unione Democratica di Centro or UDC, Uniun Democratica dal Center or UDC) [Toni BRUNNER] 
      
      and other minor parties"
Syria,"legal parties:  
      
      National Progressive Front or NPF [President Bashar al-ASAD, Dr. Suleiman QADDAH] (includes Arab Socialist Renaissance (Ba'th) Party [President Bashar al-ASAD] 
      
      Socialist Unionist Democratic Party [Fadlallah Nasr al-DIN] 
      
      Syrian Arab Socialist Union or ASU [Safwan al-QUDSI] 
      
      Syrian Communist Party (two branches) [Wissal Farha BAKDASH, Yusuf Rashid FAYSAL] 
      
      Syrian Social Nationalist Party [As'ad HARDAN] 
      
      Unionist Socialist Party [Fayez ISMAIL]) 
      
      
        Kurdish parties (considered illegal): 
      
      Kurdish Azadi Party 
      
      Kurdish Democratic Accord Party (al Wifaq) 
      
      Kurdish Democratic Party (al Parti-Ibrahim wing) 
      
      Kurdish Democratic Party (al Parti-Mustafa wing) 
      
      Kurdish Democratic Party in Syria or KDP-S 
      
      Kurdish Democratic Patriotic/National Party 
      
      Kurdish Democratic Progressive Party or KDPP-Darwish 
      
      Kurdish Democratic Progressive Party or KDPP-Muhammad 
      
      Kurdish Democratic Union Party or PYD [Salih Muslim MOHAMMAD] 
      
      Kurdish Democratic Unity Party 
      
      Kurdish Democratic Yekiti Party 
      
      Kurdish Future Party or KFP 
      
      Kurdish Future Party [Rezan HASSAN] 
      
      Kurdish Left Party 
      
      Kurdish Yekiti (Union) Party 
      
      Syrian Kurdish Democratic Party 
      
      
      
      
        other parties: Syrian Democratic Party [Mustafa QALAAJI]"
Taiwan,"Democratic Progressive Party or DPP [SU Tseng-chang] 
      
      Kuomintang or KMT (Nationalist Party) [MA Ying-jeou] 
      
      New Party [YOK Mu-ming] 
      
      Non-Partisan Solidarity Union or NPSU [LIN Pin-kuan] 
      
      People First Party or PFP [James SOONG Chu-ye] 
      
      Taiwan Solidarity Union or TSU [HUANG Kun-huei]"
Tajikistan,"Agrarian Party of Tajikistan or APT [Amir QARAQULOV] 
      
      Communist Party of Tajikistan or CPT [Shodi SHABDOLOV] 
      
      Democratic Party of Tajikistan [Saidjafar ISMONOV] 
      
      Islamic Revival Party of Tajikistan or IRPT [Muhiddin KABIRI] 
      
      Party of Economic Reform of Tajikistan or PERT [Olimjon BOBOEV] 
      
      People's Democratic Party of Tajikistan or PDPT [Emomali RAHMON] 
      
      Social Democratic Party of Tajikistan or SDPT [Rahmatullo ZOYIROV] 
      
      Socialist Party of Tajikistan or SPT [Abduhalim GHAFOROV]"
Tanzania,"Chama Cha Demokrasia na Maendeleo (Party of Democracy and Development) or CHADEMA [Willibrod SLAA] 
      
      Chama Cha Mapinduzi or CCM (Revolutionary Party) [Jakaya Mrisho KIKWETE] 
      
      Civic United Front or CUF [Ibrahim LIPUMBA] 
      
      Democratic Party or DP [Christopher MTIKLA] (unregistered) 
      
      National Convention for Construction and Reform - Mageuzi or NCCR-M [Hashim RUNGWE] 
      
      Tanzania Labor Party or TLP [Mutamwega MUGAHWYA] 
      
      United Democratic Party or UDP [Fahma DOVUTWA]"
